time(s),voltage_2
0.33416668,4083.0
0.335,4083.0
0.33583334,4083.0
0.33666667,4083.0
0.3375,4083.0
0.33833334,4083.0
0.33916667,4083.0
0.34,4083.0
0.34083334,4083.0
0.34166667,4083.0
0.3425,4083.0
0.34333333,4083.0
0.34416667,4083.0
0.345,4083.0
0.34583333,4083.0
0.34666666,4083.0
0.3475,4083.0
0.34833333,4083.0
0.34916666,4083.0
0.35,4083.0
0.35083333,4083.0
0.35166666,4083.0
0.3525,4083.0
0.35333332,4083.0
0.35416666,4083.0
0.355,4083.0
0.35583332,4083.0
0.35666665,4083.0
0.3575,4083.0
0.35833332,4083.0
0.35916665,4083.0
0.36,4083.0
0.36083335,4083.0
0.36166668,4083.0
0.3625,4083.0
0.36333334,4083.0
0.36416668,4083.0
0.365,4083.0
0.36583334,4083.0
0.36666667,4083.0
0.3675,4083.0
0.36833334,4083.0
0.36916667,4083.0
0.37,4083.0
0.37083334,4083.0
0.37166667,4083.0
0.3725,4083.0
0.37333333,4083.0
0.37416667,4083.0
0.375,4083.0
0.37583333,4083.0
0.37666667,4083.0
0.3775,4083.0
0.37833333,4083.0
0.37916666,4083.0
0.38,4083.0
0.38083333,4083.0
0.38166666,4083.0
0.3825,4083.0
0.38333333,4083.0
0.38416666,4083.0
0.385,4083.0
0.38583332,4083.0
0.38666666,4083.0
0.3875,4065.0
0.38833332,3920.0
0.38916665,3776.0
0.39,3648.0
0.39083335,3506.0
0.39166668,3379.0
0.3925,3267.0
0.39333335,3154.0
0.39416668,3043.0
0.395,2929.0
0.39583334,2834.0
0.39666668,2736.0
0.3975,2626.0
0.39833334,2547.0
0.39916667,2449.0
0.4,2355.0
0.40083334,2275.0
0.40166667,2195.0
0.4025,2115.0
0.40333334,2048.0
0.40416667,1968.0
0.405,1906.0
0.40583333,1841.0
0.40666667,1776.0
0.4075,1712.0
0.40833333,1648.0
0.40916666,1584.0
0.41,1536.0
0.41083333,1474.0
0.41166666,1427.0
0.4125,1379.0
0.41333333,1328.0
0.41416666,1266.0
0.415,1235.0
0.41583332,1185.0
0.41666666,1139.0
0.4175,1105.0
0.41833332,1074.0
0.41916665,1025.0
0.42,992.0
0.42083332,960.0
0.42166665,912.0
0.4225,898.0
0.42333335,864.0
0.42416668,818.0
0.425,787.0
0.42583334,771.0
0.42666668,739.0
0.4275,707.0
0.42833334,691.0
0.42916667,657.0
0.43,641.0
0.43083334,624.0
0.43166667,592.0
0.4325,576.0
0.43333334,560.0
0.43416667,530.0
0.435,515.0
0.43583333,497.0
0.43666667,480.0
0.4375,464.0
0.43833333,448.0
0.43916667,432.0
0.44,403.0
0.44083333,401.0
0.44166666,384.0
0.4425,370.0
0.44333333,354.0
0.44416666,339.0
0.445,323.0
0.44583333,323.0
0.44666666,306.0
0.4475,291.0
0.44833332,275.0
0.44916666,275.0
0.45,259.0
0.45083332,259.0
